Teacher_ID,Course_ID,Semester,Student_Avg_Score,Teacher_Evaluation_Score,Attendance_Rate,Student_Feedback_Rating,Course_Completion_Rate,Interactive_Sessions_Percent,Assignments_On_Time_Percent,Teaching_Experience_Years,Research_Publications,Tech_Integration_Score,Teaching_Quality
T040,C144,2024-Fall,80.35,6.9,88.16,4.34,82.67,81.38,88.82,16,3,5.17,Good
T001,C124,2024-Fall,83.19,7.17,89.6,4.11,89.47,53.75,66.24,16,2,5.81,Good
T011,C125,2024-Fall,62.95,7.84,84.27,3.53,84.07,79.91,79.91,10,3,7.7,Good
T028,C107,2025-Spring,80.88,7.45,92.84,3.46,100.0,71.5,97.61,1,2,6.12,Good
T025,C106,2024-Fall,85.86,9.26,100.0,4.3,90.69,100.0,73.34,4,2,6.79,Excellent
T050,C124,2024-Fall,76.93,8.77,86.38,3.9,84.11,82.03,86.7,3,3,9.18,Good
T023,C133,2024-Fall,66.81,7.21,91.92,4.12,100.0,77.85,76.96,5,4,6.47,Good
T031,C149,2024-Spring,84.2,9.57,100.0,4.49,87.32,80.04,79.33,12,5,10.0,Excellent
T030,C129,2024-Spring,76.14,10.0,86.62,3.24,88.95,77.03,100.0,12,4,8.11,Good
T042,C143,2025-Spring,58.26,4.43,76.12,4.7,89.32,76.63,85.99,13,3,5.6,Average
T035,C122,2025-Spring,66.04,8.9,91.16,4.48,85.76,66.01,89.14,12,5,6.29,Good
T007,C126,2024-Spring,69.74,6.46,62.98,2.97,91.24,78.03,84.1,16,2,5.11,Average
T016,C128,2025-Spring,90.06,8.7,62.02,5.0,78.95,84.23,72.88,13,4,7.96,Good
T026,C150,2024-Spring,88.3,9.36,88.33,4.16,95.43,85.9,75.52,5,3,8.99,Excellent
T048,C121,2024-Fall,88.27,6.18,61.55,3.76,84.36,84.09,94.43,4,4,6.46,Good
T049,C149,2024-Fall,77.32,4.72,71.85,4.26,87.92,92.62,86.22,15,4,4.21,Good
T002,C107,2025-Spring,84.14,8.75,81.2,3.51,93.76,86.84,78.84,12,1,7.54,Good
T001,C117,2024-Spring,63.59,7.7,77.79,4.27,88.98,79.43,84.82,19,2,5.71,Good
T048,C120,2024-Spring,75.07,5.0,83.52,3.6,89.18,52.85,90.29,19,4,5.93,Good
T012,C141,2025-Spring,79.52,10.0,96.13,5.0,84.94,52.85,88.64,11,3,7.47,Excellent
T005,C149,2024-Spring,64.25,8.44,87.38,4.03,100.0,66.28,78.84,6,3,8.85,Good
T037,C120,2024-Fall,77.1,8.51,76.61,4.32,92.66,70.7,72.4,9,6,8.11,Good
T032,C122,2025-Spring,91.87,9.55,98.54,3.61,84.59,90.97,81.74,1,4,7.64,Excellent
T009,C128,2025-Spring,80.59,6.63,70.71,4.41,90.89,28.3,93.87,12,6,6.76,Good
T041,C140,2024-Spring,84.18,7.7,87.22,3.99,84.23,54.5,91.84,14,4,5.02,Good
T035,C149,2025-Spring,50.48,5.52,69.6,3.29,98.61,67.09,88.28,6,1,7.52,Average
T019,C107,2024-Spring,90.58,6.59,87.52,3.88,91.0,55.05,83.63,1,4,8.08,Good
T048,C101,2024-Spring,73.14,8.08,81.81,4.97,85.12,58.03,80.87,2,3,6.11,Good
T016,C132,2024-Spring,67.31,5.0,95.82,4.43,93.49,62.51,83.78,11,5,6.45,Good
T003,C113,2024-Spring,73.25,6.55,92.21,3.81,88.61,55.81,91.25,3,3,8.67,Good
T020,C130,2024-Spring,60.15,6.11,79.13,3.07,83.56,58.41,93.08,10,2,6.41,Average
T024,C123,2025-Spring,85.48,7.71,77.21,3.58,91.91,90.45,82.91,6,1,6.59,Good
T033,C119,2024-Fall,71.65,8.36,81.85,3.3,91.76,79.21,100.0,6,2,6.87,Good
T024,C132,2024-Fall,67.61,8.61,100.0,3.08,95.69,81.46,85.74,2,5,8.0,Good
T011,C130,2025-Spring,73.32,9.0,100.0,4.39,90.32,69.49,82.22,10,2,7.44,Good
T049,C129,2025-Spring,86.18,9.56,75.32,4.03,90.54,85.17,96.81,6,5,7.33,Good
T008,C149,2024-Fall,76.31,8.41,93.0,4.9,90.8,82.72,68.69,17,4,9.28,Excellent
T036,C145,2024-Fall,60.9,10.0,67.69,3.5,97.98,78.98,88.84,14,1,6.39,Good
T038,C129,2024-Fall,79.65,7.68,80.53,4.0,88.45,60.19,84.42,5,2,5.57,Good
T040,C130,2024-Fall,65.71,7.24,75.72,3.3,92.35,63.37,96.59,17,1,8.53,Good
T020,C116,2024-Fall,53.44,8.41,95.69,3.7,93.08,85.87,89.84,2,2,7.35,Good
T035,C140,2024-Spring,89.96,7.18,72.09,3.89,91.75,62.25,86.11,9,2,6.12,Good
T048,C119,2025-Spring,79.57,10.0,89.29,3.81,88.26,50.67,90.3,12,3,6.46,Good
T025,C118,2024-Spring,74.22,9.2,85.01,4.03,90.6,61.96,76.56,19,3,5.09,Good
T035,C101,2024-Fall,71.54,8.63,83.25,4.49,89.53,93.39,92.73,7,6,7.35,Good
T025,C114,2024-Fall,88.97,7.7,100.0,4.43,99.8,61.97,74.24,9,6,4.81,Good
T029,C147,2024-Fall,100.0,6.89,100.0,3.62,87.71,74.91,87.87,16,2,8.02,Excellent
T018,C150,2024-Spring,79.49,8.55,83.56,3.98,85.44,60.76,85.28,11,4,6.22,Good
T046,C102,2024-Spring,64.7,5.81,81.54,4.4,89.97,81.45,70.9,12,5,4.91,Good
T018,C128,2024-Fall,73.46,9.8,69.93,4.52,89.62,78.05,85.55,15,3,8.65,Good
T002,C149,2024-Spring,79.31,7.23,84.96,3.67,90.98,47.63,87.26,18,3,10.0,Good
T035,C150,2024-Spring,51.5,7.96,100.0,4.35,87.71,74.02,79.76,19,3,7.66,Good
T016,C130,2024-Fall,78.34,6.14,83.71,4.17,90.55,44.76,76.9,16,5,6.57,Good
T041,C138,2024-Spring,79.36,8.58,92.29,3.47,90.65,61.69,88.94,15,2,5.56,Good
T036,C104,2025-Spring,88.26,6.82,71.03,4.4,94.53,69.83,87.9,5,3,7.39,Good
T033,C101,2025-Spring,87.22,8.47,80.65,4.08,90.47,97.7,86.81,11,3,7.96,Excellent
T004,C108,2025-Spring,76.11,8.64,89.62,3.13,90.51,74.77,85.07,15,3,7.01,Good
T033,C129,2025-Spring,90.15,6.53,86.06,3.85,92.58,58.49,80.47,18,2,8.34,Good
T014,C139,2024-Fall,95.36,5.81,93.25,4.02,94.34,65.24,100.0,13,3,9.27,Excellent
T021,C103,2024-Fall,75.28,9.8,78.97,3.7,85.08,83.86,82.61,4,2,5.11,Good
T048,C132,2024-Fall,79.18,7.21,67.5,4.61,83.74,58.7,78.08,17,5,7.44,Good
T020,C110,2025-Spring,57.33,7.84,96.22,4.63,98.48,86.45,85.44,4,4,4.15,Good
T008,C110,2025-Spring,60.49,8.23,75.64,3.81,93.52,62.15,83.55,16,4,5.78,Good
T007,C119,2024-Spring,66.62,5.62,90.07,3.75,88.9,56.27,82.43,15,2,8.08,Good
T003,C146,2024-Spring,70.56,8.19,89.51,3.93,90.1,62.63,99.99,14,3,6.93,Good
T017,C134,2025-Spring,64.04,7.65,68.36,3.9,88.04,45.76,75.96,12,5,4.58,Average
T033,C133,2025-Spring,74.64,6.53,95.49,3.7,91.06,37.41,85.3,3,2,8.57,Good
T048,C123,2025-Spring,70.86,5.77,79.33,2.15,85.14,68.76,76.5,10,5,6.19,Average
T012,C128,2025-Spring,85.71,8.41,85.55,4.88,94.2,68.99,80.67,8,0,8.28,Excellent
T022,C132,2024-Spring,70.25,9.19,81.42,4.0,90.88,73.85,98.89,6,2,7.77,Good
T022,C150,2025-Spring,52.13,7.77,100.0,3.91,91.06,68.69,87.25,14,0,5.75,Good
T046,C107,2024-Spring,76.26,5.35,98.43,4.16,85.53,100.0,87.15,17,1,8.3,Good
T030,C129,2025-Spring,74.86,5.91,66.88,3.96,92.62,72.53,77.48,19,3,7.48,Good
T038,C108,2025-Spring,66.38,6.85,100.0,3.78,85.65,49.35,81.6,16,4,7.26,Good
T038,C101,2025-Spring,75.95,9.85,78.22,3.5,86.54,53.2,99.58,15,3,6.3,Good
T045,C103,2024-Spring,64.25,7.13,100.0,3.08,90.44,70.0,88.99,15,6,5.35,Good
T008,C124,2024-Spring,78.3,6.8,82.44,3.32,100.0,63.47,82.28,1,3,6.37,Good
T027,C123,2024-Fall,100.0,4.99,81.59,3.44,90.86,51.57,88.52,12,3,6.34,Good
T027,C108,2025-Spring,56.94,6.51,82.53,4.33,77.16,69.12,87.14,10,5,8.28,Good
T034,C147,2024-Fall,69.84,5.65,80.99,4.36,86.79,69.34,78.28,14,5,4.53,Good
T021,C137,2024-Fall,68.23,6.0,100.0,3.56,93.42,93.94,82.05,10,1,9.21,Good
T030,C103,2024-Spring,70.67,7.68,84.24,2.67,84.36,56.26,100.0,10,3,9.29,Good
T033,C133,2024-Spring,85.2,6.9,81.98,4.0,94.16,63.73,88.14,11,3,6.04,Good
T028,C128,2024-Fall,80.43,10.0,85.77,3.79,90.79,93.89,72.45,16,4,9.1,Excellent
T047,C147,2025-Spring,83.49,9.12,75.33,3.78,94.96,74.93,89.08,9,6,5.49,Good
T033,C108,2024-Spring,75.3,6.59,100.0,4.48,87.21,56.17,95.42,15,4,8.69,Good
T005,C134,2025-Spring,61.78,6.12,70.29,4.07,86.82,59.28,77.76,14,5,5.77,Average
T048,C135,2025-Spring,63.85,9.57,78.86,3.51,92.82,51.79,81.35,19,4,8.55,Good
T019,C132,2024-Fall,82.46,9.99,94.37,3.4,89.96,71.16,96.63,9,3,4.84,Good
T004,C124,2024-Fall,76.71,4.21,85.42,3.87,89.66,85.47,85.28,4,2,8.62,Good
T035,C114,2024-Fall,87.6,7.64,90.49,3.55,97.84,94.46,83.86,7,3,8.93,Excellent
T049,C132,2024-Fall,77.93,7.12,100.0,3.96,93.02,47.71,74.31,8,2,4.8,Good
T017,C146,2024-Spring,63.17,8.47,95.04,4.51,80.05,83.04,93.56,8,4,9.64,Good
T044,C143,2024-Spring,69.78,10.0,86.37,3.31,94.0,72.46,83.49,19,3,8.53,Good
T028,C116,2024-Fall,80.65,6.77,100.0,4.04,93.49,66.07,67.63,15,2,4.0,Good
T030,C104,2024-Spring,82.1,4.41,78.72,4.46,95.92,63.74,72.42,16,4,6.27,Good
T029,C137,2024-Fall,83.55,8.37,84.0,3.96,85.3,41.19,80.51,9,1,8.56,Good
T046,C121,2025-Spring,64.51,9.58,84.7,4.36,91.62,79.57,76.42,12,3,8.08,Good
T006,C114,2025-Spring,62.99,7.04,83.98,3.86,90.56,50.22,77.67,16,3,7.17,Good
T035,C131,2025-Spring,73.1,6.44,74.31,4.09,85.21,58.78,100.0,4,3,8.39,Good
T041,C148,2024-Fall,89.4,6.84,69.16,4.22,94.73,76.27,90.66,5,4,5.69,Good
T037,C118,2025-Spring,68.06,8.78,89.17,3.71,88.79,42.75,64.38,8,0,7.07,Good
T024,C107,2024-Spring,79.55,6.82,78.67,5.0,95.76,50.19,82.49,1,2,5.73,Good
T029,C110,2025-Spring,79.55,7.99,100.0,4.29,86.29,88.28,84.28,6,2,7.2,Good
T049,C107,2025-Spring,82.61,7.54,84.27,4.65,82.7,71.83,73.18,15,2,8.5,Good
T046,C133,2025-Spring,91.64,7.39,82.49,4.54,88.79,60.07,89.28,4,5,8.17,Good
T031,C123,2024-Spring,90.62,8.55,95.94,4.16,91.16,71.89,68.67,11,2,7.33,Excellent
T035,C121,2024-Fall,69.05,6.78,89.02,4.69,87.33,80.04,93.78,5,2,8.48,Good
T033,C119,2024-Spring,54.02,6.85,83.24,4.09,74.68,86.87,96.53,18,2,8.63,Good
T021,C148,2024-Fall,68.21,8.7,78.59,3.64,91.92,53.31,100.0,15,3,9.7,Good
T032,C119,2024-Fall,75.76,6.02,100.0,4.01,91.89,54.63,72.41,18,3,8.75,Good
T023,C136,2025-Spring,71.38,6.18,88.62,3.5,93.44,79.13,74.03,13,5,7.98,Good
T033,C129,2024-Fall,94.68,5.61,95.84,2.95,88.1,79.61,90.54,5,3,8.4,Good
T003,C118,2024-Spring,75.19,8.77,74.77,3.57,87.82,49.84,94.46,1,2,7.37,Good
T018,C102,2024-Spring,81.54,7.34,79.22,4.04,97.2,55.19,91.47,18,6,6.58,Good
T025,C101,2024-Fall,77.17,5.53,100.0,4.53,82.12,67.09,93.64,14,5,8.3,Good
T042,C147,2025-Spring,71.53,8.78,98.97,3.57,88.76,70.35,96.01,5,4,8.14,Good
T031,C105,2025-Spring,55.75,6.67,89.58,4.51,90.71,70.78,86.62,6,3,7.44,Good
T003,C120,2024-Spring,74.21,6.19,81.18,3.39,93.03,49.61,83.3,16,3,6.71,Good
T040,C111,2025-Spring,100.0,7.21,82.66,3.54,90.85,70.63,74.05,12,1,6.62,Good
T046,C142,2024-Fall,62.56,9.72,78.24,4.72,85.39,59.24,82.62,18,2,6.39,Good
T024,C102,2024-Fall,56.85,6.91,73.43,4.02,95.84,52.51,83.84,2,5,8.88,Good
T050,C103,2024-Spring,94.36,8.36,94.24,3.91,90.01,69.84,77.4,13,2,8.77,Excellent
T032,C123,2024-Fall,82.42,8.59,90.39,4.12,81.66,68.31,84.69,17,5,8.7,Good
T047,C112,2024-Spring,76.87,8.16,92.36,3.4,91.05,82.03,76.5,17,5,5.42,Good
T022,C120,2024-Fall,88.63,9.41,81.63,3.83,92.38,57.09,93.91,16,2,6.46,Good
T023,C105,2024-Spring,66.68,6.44,87.56,4.0,99.8,73.53,88.41,18,5,6.61,Good
T002,C137,2025-Spring,73.93,5.93,80.68,4.62,92.04,46.47,81.32,8,5,6.09,Good
T027,C138,2024-Fall,84.55,5.91,77.73,3.16,82.59,65.88,86.51,3,2,9.79,Good
T042,C130,2024-Fall,96.1,7.28,100.0,4.88,82.77,76.96,76.16,17,4,7.6,Excellent
T002,C109,2024-Spring,63.31,6.08,86.22,3.94,96.29,78.22,76.97,18,1,7.49,Good
T026,C134,2024-Spring,87.81,7.72,90.07,3.44,85.99,78.32,79.93,6,3,6.3,Good
T017,C144,2024-Fall,78.82,7.62,93.36,3.35,82.25,82.07,83.46,8,6,8.29,Good
T040,C135,2024-Spring,76.63,9.03,86.34,4.14,95.0,63.31,86.13,13,4,10.0,Excellent
T033,C122,2024-Fall,74.92,7.94,87.41,3.33,87.62,77.44,86.16,8,2,7.12,Good
T009,C144,2025-Spring,61.15,6.88,74.13,3.72,94.74,98.03,74.45,19,6,6.65,Good
T043,C124,2024-Spring,84.63,8.12,76.04,3.88,85.43,62.99,84.35,6,5,6.86,Good
T048,C117,2024-Fall,67.18,5.95,75.52,4.57,97.37,90.7,78.46,15,4,6.52,Good
T039,C110,2025-Spring,64.2,7.44,91.05,4.51,94.36,83.15,57.73,10,7,7.0,Good
T029,C130,2025-Spring,83.85,7.98,85.71,3.68,86.39,66.01,100.0,17,5,6.08,Good
T042,C146,2024-Fall,82.89,7.69,76.04,3.89,81.7,67.26,78.61,1,4,5.67,Good
T026,C123,2024-Spring,75.79,8.12,90.8,3.2,100.0,71.78,79.05,7,3,6.97,Good
T035,C132,2024-Fall,85.8,6.53,90.43,2.98,88.95,82.3,74.23,13,2,7.12,Good
T050,C117,2025-Spring,89.26,9.23,78.05,3.39,86.19,76.04,76.54,3,3,6.59,Good
T025,C150,2024-Fall,88.08,10.0,84.72,4.56,96.93,62.88,83.49,19,3,9.19,Excellent
T024,C117,2024-Spring,69.72,5.1,90.47,4.39,94.73,38.77,95.81,15,3,7.62,Good
T013,C114,2025-Spring,85.14,5.68,76.42,4.19,95.91,80.08,83.45,5,3,8.11,Good
T007,C109,2024-Fall,77.12,7.56,90.66,3.27,89.51,41.01,82.41,11,0,8.15,Good
T036,C140,2024-Spring,92.26,7.12,88.01,3.64,99.41,49.51,94.6,18,6,7.16,Good
T045,C102,2025-Spring,73.76,10.0,75.01,3.57,83.45,63.96,80.8,3,3,7.33,Good
T020,C145,2024-Spring,71.44,7.83,87.2,3.92,87.24,51.79,85.17,6,4,5.71,Good
T001,C125,2025-Spring,68.86,9.59,88.66,3.89,91.95,74.76,77.63,3,0,7.98,Good
T008,C139,2024-Fall,76.89,4.43,78.74,3.5,95.84,65.56,98.48,5,1,6.5,Good
T046,C109,2024-Spring,79.67,8.72,79.53,4.17,93.31,81.78,93.39,9,2,6.04,Good
T016,C122,2025-Spring,79.86,6.43,74.92,4.11,89.59,45.88,83.78,19,1,8.95,Good
T014,C143,2024-Spring,78.49,6.4,80.51,3.64,87.62,60.07,81.8,13,4,5.0,Good
T012,C146,2024-Spring,81.71,7.13,84.88,4.15,95.87,70.06,84.75,6,2,9.58,Good
T023,C104,2024-Fall,72.77,5.36,79.55,4.56,93.82,70.64,83.89,11,4,9.46,Good
T015,C126,2024-Spring,66.27,8.16,70.15,4.71,85.63,80.41,72.63,14,4,6.67,Good
T028,C129,2025-Spring,65.4,7.79,78.11,4.25,85.48,56.28,93.66,6,2,9.68,Good
T034,C145,2025-Spring,84.75,7.9,80.83,4.23,87.27,62.98,83.18,6,5,5.67,Good
T002,C134,2025-Spring,79.7,8.83,93.17,3.88,86.63,77.61,100.0,17,5,8.49,Good
T032,C123,2025-Spring,56.44,9.77,90.95,4.51,95.15,37.02,88.37,11,1,7.03,Good
T023,C137,2024-Fall,85.97,6.95,93.36,3.46,92.18,75.77,64.83,15,5,4.29,Good
T022,C111,2024-Spring,93.8,8.22,77.61,4.46,92.79,81.46,74.75,9,2,6.05,Good
T025,C106,2024-Fall,67.84,7.94,86.42,3.86,90.96,50.0,67.83,17,1,6.74,Good
T022,C118,2024-Spring,78.36,8.07,60.77,4.75,91.19,65.27,74.65,7,5,8.17,Good
T022,C121,2024-Spring,70.27,8.09,89.29,4.29,82.09,92.39,71.93,7,6,6.28,Good
T049,C142,2024-Spring,81.28,9.89,91.11,3.97,93.97,79.9,87.02,1,1,6.59,Excellent
T042,C136,2024-Fall,63.34,6.81,81.48,3.88,87.18,76.7,82.47,8,5,7.81,Good
T006,C141,2024-Spring,74.29,5.21,87.95,4.26,89.83,84.86,90.92,5,3,7.73,Good
T015,C138,2024-Fall,84.81,6.45,69.85,4.24,87.63,97.07,84.7,19,0,6.86,Good
T043,C134,2025-Spring,87.36,8.64,76.99,3.8,90.73,70.28,83.08,8,1,6.55,Good
T037,C117,2025-Spring,79.26,7.53,92.65,4.05,92.87,63.89,100.0,17,5,8.41,Good
T033,C137,2024-Spring,71.61,6.8,90.11,4.45,84.96,84.83,86.78,19,2,6.54,Good
T008,C125,2024-Fall,59.07,5.89,80.88,3.32,91.26,67.19,84.36,12,3,5.22,Average
T044,C138,2025-Spring,67.42,7.83,93.11,4.36,87.75,56.08,78.17,15,3,6.41,Good
T044,C112,2024-Fall,70.31,8.47,86.38,4.26,96.61,61.9,75.59,4,4,7.82,Good
T005,C123,2024-Fall,68.02,7.96,79.96,4.59,84.43,74.68,91.16,12,3,6.78,Good
T039,C142,2024-Spring,75.6,7.12,83.17,3.64,84.99,63.26,90.69,13,4,6.25,Good
T004,C122,2025-Spring,71.58,7.72,80.45,4.0,88.2,64.38,97.57,14,3,5.12,Good
T006,C121,2024-Spring,76.72,7.71,73.16,4.1,85.37,54.59,88.83,5,7,6.78,Good
T045,C127,2024-Spring,87.03,7.78,97.57,4.37,88.88,91.53,81.86,16,3,7.34,Excellent
T032,C131,2025-Spring,70.94,5.72,79.32,4.21,87.36,64.86,89.09,7,3,5.49,Good
T030,C106,2025-Spring,61.17,7.8,76.68,3.38,90.44,59.33,84.36,15,1,6.72,Good
T047,C127,2024-Fall,67.98,6.84,69.71,4.15,95.04,60.92,91.92,13,3,5.36,Good
T035,C140,2025-Spring,80.84,9.06,58.64,5.0,90.36,82.04,95.67,16,2,6.81,Good
T040,C134,2024-Fall,81.78,7.7,92.01,4.31,90.81,78.6,83.65,12,5,9.59,Excellent
T016,C112,2024-Fall,79.06,8.75,92.94,4.82,84.71,62.47,99.06,7,6,7.26,Excellent
T013,C145,2024-Fall,88.01,7.05,96.93,4.52,89.33,70.48,94.51,16,4,4.63,Good
T050,C107,2025-Spring,73.14,7.1,83.51,4.68,87.89,74.15,85.14,13,4,7.5,Good
T042,C110,2024-Spring,95.52,9.74,81.78,4.15,93.41,59.44,90.37,3,2,8.97,Excellent
T030,C145,2024-Fall,83.18,8.15,79.92,4.26,86.18,46.89,87.44,15,3,4.92,Good
T019,C117,2024-Spring,49.77,6.43,80.83,4.13,85.7,77.73,85.18,3,5,5.43,Average
T017,C126,2024-Spring,93.01,8.85,96.2,4.0,91.59,60.27,100.0,7,2,7.39,Excellent
T019,C121,2025-Spring,67.33,6.7,84.73,4.37,99.9,76.61,89.14,18,3,6.87,Good
T028,C128,2024-Spring,64.66,7.84,88.78,3.74,89.12,74.82,78.27,14,3,8.82,Good
T026,C146,2024-Spring,80.24,10.0,80.58,4.94,90.84,70.84,76.78,18,3,6.73,Excellent
T037,C102,2025-Spring,57.62,5.35,98.21,3.54,94.74,63.61,77.1,19,4,8.24,Good
T026,C143,2024-Fall,68.05,7.24,65.95,4.41,92.55,60.49,88.92,14,3,9.29,Good
T023,C101,2024-Spring,90.57,8.11,72.79,4.69,92.58,52.92,82.27,6,0,5.7,Good
T009,C136,2025-Spring,80.56,8.65,88.8,3.91,89.52,60.78,87.67,8,3,8.12,Good
T012,C126,2024-Spring,83.12,5.64,100.0,3.44,89.62,78.53,92.49,7,2,6.4,Good
T001,C129,2024-Spring,68.43,5.2,82.75,4.58,86.22,90.97,100.0,18,6,3.68,Good
T001,C121,2024-Fall,59.62,9.14,76.58,4.1,92.43,88.77,82.45,18,1,7.71,Good
T047,C111,2024-Spring,82.07,6.42,95.01,4.41,92.32,72.18,73.73,15,2,7.9,Good
T034,C140,2025-Spring,84.3,6.36,88.24,3.95,93.59,90.96,99.34,19,2,4.68,Good
T032,C111,2024-Spring,83.85,9.83,97.9,4.87,87.56,65.4,73.34,2,1,6.32,Excellent
T048,C136,2024-Fall,77.09,7.6,72.1,2.94,94.15,50.63,73.03,8,4,6.07,Good
T025,C149,2024-Fall,65.33,7.61,97.12,4.19,95.67,98.81,99.13,11,5,8.21,Good
T040,C139,2025-Spring,99.38,7.23,69.52,4.67,83.93,77.99,93.53,18,2,4.68,Good
T045,C140,2024-Fall,79.8,5.66,82.12,4.05,88.52,46.98,88.88,13,4,7.16,Good
T001,C135,2024-Spring,73.26,8.51,89.13,4.15,95.88,93.39,84.6,9,4,3.49,Good
T016,C134,2024-Fall,73.31,8.11,86.86,3.78,86.75,58.85,83.09,9,3,7.57,Good
T039,C147,2025-Spring,76.5,7.75,95.61,4.01,92.64,62.11,79.79,17,4,7.19,Good
T005,C124,2024-Fall,85.7,7.33,66.73,3.16,90.04,85.32,82.74,7,2,6.23,Good
T022,C122,2024-Fall,76.9,7.06,86.41,3.64,91.65,90.43,84.62,9,2,9.14,Good
T029,C105,2024-Fall,83.59,8.87,97.0,3.61,90.2,54.99,74.0,1,3,3.07,Good
T003,C133,2025-Spring,76.51,7.29,85.59,4.33,93.73,92.06,78.44,2,3,6.97,Good
T012,C136,2024-Fall,73.88,7.4,73.58,3.71,84.89,83.11,68.1,4,2,8.8,Good
T026,C147,2024-Fall,81.41,8.29,95.08,3.73,85.43,58.0,85.62,14,2,7.19,Good
T016,C120,2024-Spring,81.03,7.81,78.52,3.81,97.32,66.31,85.62,4,6,9.05,Good
T037,C119,2025-Spring,73.3,9.96,76.76,3.63,100.0,92.74,99.23,2,2,6.32,Good
T022,C135,2024-Fall,67.51,4.86,75.5,4.13,89.97,46.59,88.0,8,4,6.75,Good
T029,C143,2025-Spring,78.42,7.95,83.01,4.19,98.58,90.71,80.55,18,2,8.85,Good
T014,C117,2024-Fall,75.78,6.44,86.83,4.41,86.14,82.7,83.4,19,4,8.34,Good
T028,C145,2024-Fall,69.45,6.09,72.31,4.33,87.34,77.64,88.89,14,3,10.0,Good
T005,C143,2024-Fall,66.58,6.81,74.36,4.28,97.29,71.98,86.82,10,0,7.15,Good
T047,C134,2024-Spring,79.1,7.58,78.06,3.84,94.02,99.55,89.63,17,4,7.3,Good
T049,C109,2024-Spring,80.5,7.65,75.45,3.8,98.03,100.0,88.02,8,2,6.31,Good
T030,C126,2024-Spring,71.4,5.22,85.37,3.56,92.34,60.77,82.98,14,2,6.69,Good
T046,C102,2025-Spring,69.2,6.69,88.61,3.56,84.94,79.18,80.71,8,3,8.62,Good
T005,C109,2025-Spring,66.7,7.92,87.24,4.1,91.12,98.12,80.28,5,6,7.0,Good
T012,C109,2024-Spring,78.82,6.18,87.25,3.64,96.01,58.22,77.6,16,5,5.79,Good
T016,C140,2025-Spring,66.96,5.83,100.0,4.73,89.34,73.65,76.34,8,5,6.44,Good
T026,C117,2024-Fall,97.41,4.12,89.24,3.98,88.57,85.06,99.71,10,0,6.86,Good
T026,C101,2024-Fall,70.9,6.51,92.84,4.75,92.42,39.78,86.0,8,4,5.89,Good
T048,C125,2024-Fall,50.75,5.78,80.85,4.29,87.2,82.43,83.76,9,4,6.31,Average
T021,C143,2024-Spring,74.7,6.02,94.44,3.61,91.48,53.67,81.03,18,3,5.5,Good
T039,C140,2025-Spring,74.27,7.09,80.38,3.97,90.32,72.88,88.43,3,4,6.37,Good
T036,C142,2024-Spring,86.12,6.6,89.11,3.16,87.55,87.17,94.63,17,2,8.75,Good
T033,C125,2025-Spring,77.88,5.75,71.29,4.1,94.9,34.16,90.79,15,2,7.07,Good
T030,C139,2024-Fall,66.66,4.33,86.66,3.66,93.23,81.79,92.37,17,1,10.0,Good
T037,C135,2024-Spring,72.14,7.95,75.25,3.44,88.23,100.0,80.31,8,5,5.85,Good
T023,C103,2025-Spring,78.27,8.63,94.36,4.76,89.93,62.0,84.97,2,2,7.73,Excellent
T010,C150,2025-Spring,53.35,6.9,93.76,4.52,88.64,78.65,80.41,17,0,7.33,Good
T005,C137,2024-Fall,88.39,7.1,80.33,4.5,86.81,90.03,85.86,18,3,7.98,Good
T036,C144,2024-Spring,66.69,7.5,100.0,4.39,81.51,46.11,95.18,5,3,6.09,Good
T034,C144,2024-Spring,89.17,9.87,82.14,3.38,87.58,81.36,88.52,9,4,6.45,Good
T031,C130,2024-Spring,78.92,5.15,68.88,3.8,86.88,85.36,98.01,9,2,7.61,Good
T010,C138,2024-Fall,81.3,6.88,77.21,3.83,90.57,79.58,82.69,2,4,6.24,Good
T019,C134,2024-Spring,86.49,4.92,74.56,3.15,92.2,71.3,78.54,2,4,4.34,Good
T032,C112,2024-Fall,80.73,8.04,88.8,3.72,85.99,54.99,89.1,19,0,8.97,Good
T001,C119,2024-Fall,81.73,7.28,72.65,3.73,91.87,90.87,85.95,3,1,8.33,Good
T005,C137,2024-Fall,73.36,7.8,79.61,4.06,85.22,70.52,87.58,17,4,6.37,Good
T045,C144,2025-Spring,78.72,7.73,88.15,5.0,89.37,56.44,86.39,14,1,7.33,Good
T004,C149,2024-Spring,69.13,8.99,86.39,3.99,86.99,65.23,81.12,14,3,8.51,Good
T016,C117,2024-Spring,71.57,8.31,84.87,4.06,93.73,75.53,86.57,14,2,9.02,Good
T024,C110,2024-Fall,94.65,8.75,86.26,3.87,90.58,46.58,92.79,6,3,7.16,Good
T016,C149,2024-Fall,66.92,5.9,81.29,4.37,89.45,70.27,93.61,3,0,6.12,Good
T002,C147,2024-Spring,76.54,9.29,68.96,3.46,86.87,63.75,81.08,1,0,9.2,Good
T049,C112,2024-Fall,76.13,6.42,81.03,4.95,88.36,90.04,86.85,16,4,7.14,Good
T028,C116,2024-Spring,71.89,6.5,89.69,3.94,99.15,41.88,96.82,4,1,6.78,Good
T032,C124,2025-Spring,80.14,7.91,83.63,3.8,87.49,84.08,81.26,1,2,7.39,Good
T027,C119,2024-Fall,80.9,7.95,88.91,4.49,92.4,91.26,79.8,17,1,8.73,Excellent
